Systime,Date,Time,OutsideAirTemperature (°C),LocalizerDeviation (-1..1),GlideslopeDeviation (-1..1),FlightDirectorOn_Off,AutopilotMode,GroundSpeed (kts),GroundTrack (°M),CrossTrackDeviation (nm),VerticalDeviation (ft),AltimeterSetting (in.hg),AltBug (ft),VSIBug (ft/min),HdgBug (°),DisplayMode,NavigationMode,ActiveWptId,GPSSelect    ,NavaidBrg (°M),OBS (°M),DesiredTrack (°M),NavFreq (kHz),CrsSelect    ,NavType      ,CourseDeviation (°),GPSAltitude (m),DistanceToActiveWpt (nm),GPSState,GPSHorizProtLimit (m),GPSVertProtLimit (m),HPL_SBAS (m),VPL_SBAS (m),HFOM (m),VFOM (m),FmsCourse (°M),MagVar (° -W/+E),GPS MSL Altitude (m),GPS AGL Height (m),FLTA RTC (m),FLTA ATC (m),FLTA vspd (fpm),FLTA RTC dist (m),FLTA terr dist (m),FLTA Status
69779373,20170224,19:22:59,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-1,0,0,0x3
69780165,20170224,19:23:00,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69780957,20170224,19:23:00,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69781749,20170224,19:23:01,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69782541,20170224,19:23:02,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69783333,20170224,19:23:03,13,0.000,0.000,0,-,1,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-1,0,0,0x3
69784125,20170224,19:23:04,13,0.000,0.000,0,-,2,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-3,0,0,0x3
69784917,20170224,19:23:04,13,0.000,0.000,0,-,2,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-4,0,0,0x3
69785709,20170224,19:23:05,13,0.000,0.000,0,-,3,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-5,0,0,0x3
69786501,20170224,19:23:06,13,0.000,0.000,0,-,3,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-6,0,0,0x3
69787293,20170224,19:23:07,13,0.000,0.000,0,-,3,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-6,0,0,0x3
69788085,20170224,19:23:08,13,0.000,0.000,0,-,4,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-6,0,0,0x3
69788877,20170224,19:23:08,13,0.000,0.000,0,-,4,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-7,0,0,0x3
69789669,20170224,19:23:09,13,0.000,0.000,0,-,4,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-7,0,0,0x3
69790461,20170224,19:23:10,13,0.000,0.000,0,-,5,175,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-8,0,0,0x3
69791253,20170224,19:23:11,13,0.000,0.000,0,-,5,174,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-9,0,0,0x3
69792045,20170224,19:23:12,13,0.000,0.000,0,-,5,174,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.6,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-9,0,0,0x3
